Paper,Methodology,Link,Tools,Year,"PIM ",Journal/Conference,Authors,Name
SmartDIMM: In-Memory Acceleration of Upper Layer Protocols,"FPGA implementation using AxDIMM, a DIMM-based near memory processing product from Samsung. Also used emulation approach",https://alian-eecs.ku.edu/papers/smartdimm-hpca24.pdf,FPGA/Synthesis,2024,PNM,HPCA,"N. Patel, A. Mamandipoor, M. Nouri, M. Alian",SmartDIMM
StreamPIM: Streaming Matrix Computation in Racetrack Memory,"Replace existing main memory system in full system simulator like gem5 with RM latency model derived from NVM modeling tools (RTSim and NVSim). From scratch cycle-accurate simulator to simulate PIM latency in RM. ",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10476415,"In-house Simulator, NVSim, RTSim, gem5",2024,PUM,HPCA,"Y. An, Y. Tang, S. Yi, L. Peng, X. Pan, G. Sun, Z. Luo, Q. Li, J. Zhang",StreamPIM
Understanding Bulk-Bitwise Processing-In-Memory Through Database Analytics,Evaluate PIMDB using gem5 full-system simulator.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10255629,gem5,2024,PUM,IEEE,"Ben Perach, Ronny Ronen, Benny Kimelfeld, and Shahar Kvatinsky",PIMDB
CHOPPER: A Compiler Infrastructure for Programmable Bit-serial SIMD Processing Using Memory in DRAM,Gem5 with integrated Ramulator,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10071070,"Ramulator, gem5",2023,PUM,HPCA,"X. Peng, Y. Wang, M. Yang",CHOPPER
DIMM-Link: Enabling Efficient Inter-DIMM Communication for Near-Memory Processing,"FPGA prototype. Simulate DIMM-Link and baseline architectures using modified MultiPIM simulator developed on Zsim, Ramulator, and BookSim. CPU forwarding latency profiled using gem5. ",https://www.cs.cmu.edu/~18742/papers/Zhou2023.pdf,"BookSim, FPGA/Synthesis, MultiPIM, Ramulator, ZSim, gem5",2023,PNM,HPCA,"Zhe Zhou, Cong Li, Fan Yang, and Guangyu Sun",DIMM-Link
Accelerating Personalized Recommendation with Cross-level Near-Memory Processing,"Implement ReCross on modified Ramulator to evaluate performance and effectiveness. Subarray parallelism modeled by adjusting parts of DRAM timing constraints. Synthesize PEs using 40nm CMOS technology, area and power of PEs from Synopsys Design Compiler. DRAM energy of DDR5 from MICRON DDR4 power calculator. Off-chip I/O data from CACTI-IO",https://dl.acm.org/doi/pdf/10.1145/3579371.3589101,"CACTI-IO, FPGA/Synthesis, Micron DRAM Power Calculator, Ramulator",2023,PNM,ISCA,"Haifeng Liu, Long Zheng, Yu Huang, Chaoqiang Liu, Xiangyu Ye, Jingrui
Yuan, Xiaofei Liao, Hai Jin, and Jingling Xue",ReCross
MetaNMP: Leveraging Cartesian-Like Product to Accelerate HGNNs with Near-Memory Processing,"Evaluate MetaNMP performance using modified Ramulator and trace-driven Zsim. Generate traces by simulating HGNNs at behavioral level. Estimate cache area, energy consumption, access latency using Cacti. Area, energy consumption, latency of special hardware units evaluated using Synopsys Design Compiler. Cacti-3DD to evaluate DRAM energy consumption, Cacti-IO for energy consumption of off-chip I/O at DIMM-level.",https://dl.acm.org/doi/pdf/10.1145/3579371.3589091,"CACTI, CACTI-3DD, CACTI-IO, Ramulator, Synopsys, ZSim",2023,PNM,ISCA,"Dan Chen, Haiheng He, Hai Jin, Long Zheng, Yu Huang, Xinyang Shen, and Xiaofei Liao",MetaNMP
"Analysis of Conventional, Near-Memory, and In-Memory DNN Accelerators","Extend Timeloop to model architectures with hardware values. Use 45nm model and CACTI for buffers. ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10158207,"CACTI, Timeloop",2023,"PNM, PUM",IEEE/ISPASS,"T. Glint, C. Jha, M. Awasthi, J. Mekie",
Evaluating Machine Learning Workloads on Memory-Centric Computing Systems,Implement ML workloads on real-world PIM system (UPMEM),https://ieeexplore.ieee.org/document/10158216,,2023,PNM,IEEE/ISPASS,"J. Gomez-Luna, Y. Guo, S. Brocard, J. Legriel, R. Cimadomo, G. Oliveira, G. Singh, O. Mutlo",
"RAELLA: Reforming the Arithmetic for Efficient, Low-Resolution, and Low-Loss Analog PIM: No Retraining Required!",Create RAELLA model using Accelergy/Timeloop. Model SRAM in CACTI. Model ISAAC DAC/crossbars using modified NeuroSim,https://dl.acm.org/doi/pdf/10.1145/3579371.3589062#page=10.71,"Accelergy, CACTI, NeuroSim, Timeloop",2023,PUM,ISCA,"T. Andrulis, J. Emer, V. Sze",RAELLA
CORUSCANT: Fast Efficient Processing-in-Racetrack Memories,Modified NVSim for DWM energy. Synthesized PIM logic. custom sensing circuit. System-level simulation including PIM acceleration using extended RTSim with cycle-level simulation model of CORUSCANT PIM memory,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9923783,"FPGA/Synthesis, NVSim, RTSim",2022,PUM,MICRO,"S. Ollivier, S. Longofono, P. Dutta, J. Hu, S. Bhanja, A. Jones",CORUSCANT
PIMCloud: QoS-Aware Resource Management of Latency-Critical Applications in Clouds with Processing-in-Memory,Modified ZSim,https://www.csl.cornell.edu/~delimitrou/papers/2022.hpca.pimcloud.pdf,ZSim,2022,PNM,HPCA,"S. Chen, Y. Jiang, C. Delimitrou, J. Martinez",PIMCloud
