Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
size_15.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
size_10.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
size_3.txt, 8.46846 ns, 17.6545 ns, 29.7798 ns, 9.73281 ns, 12.8671 ns, 1.41913 ns, 0.983217 nJ, 0.988882 nJ, 0.988915 nJ, 0.910332 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 0.741733 ns, 0.0467025 nJ
size_6.txt, 8.76447 ns, 18.6439 ns, 30.7692 ns, 11.5027 ns, 12.8671 ns, 2.08825 ns, 1.03639 nJ, 1.24787 nJ, 1.2479 nJ, 0.911061 nJ, 27.5034 mm2, 39.6343 mm2, 47.0879%, 6.77106 mm, 5.81922 mm, 0.232 mm2, 0.741733 ns, 0.0474322 nJ
size_11.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
size_7.txt, 8.76447 ns, 18.6439 ns, 30.7692 ns, 11.5027 ns, 12.8671 ns, 2.08825 ns, 1.03639 nJ, 1.24787 nJ, 1.2479 nJ, 0.911061 nJ, 27.5034 mm2, 39.6343 mm2, 47.0879%, 6.77106 mm, 5.81922 mm, 0.232 mm2, 0.741733 ns, 0.0474322 nJ
size_4.txt, 8.76447 ns, 18.6439 ns, 30.7692 ns, 11.5027 ns, 12.8671 ns, 2.08825 ns, 1.03639 nJ, 1.24787 nJ, 1.2479 nJ, 0.911061 nJ, 27.5034 mm2, 39.6343 mm2, 47.0879%, 6.77106 mm, 5.81922 mm, 0.232 mm2, 0.741733 ns, 0.0474322 nJ
size_12.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
size_16.txt, 18.3403 ns, 34.9023 ns, 56.9826 ns, 25.461 ns, 22.8221 ns, 6.10256 ns, 1.38687 nJ, 2.60436 nJ, 2.60443 nJ, 0.912135 nJ, 99.7515 mm2, 148.275 mm2, 50.3468%, 6.40885 mm, 23.099 mm, 0.2368 mm2, 0.741733 ns, 0.0488916 nJ
size_8.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
