Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
system_frequency_700.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.2117 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_300.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 19.0212 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_200.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 22.3545 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_600.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.6878 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_550.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.9909 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_50.cfg.txt, 17.6572 ns, 31.5092 ns, 53.5895 ns, 53.5865 ns, 22.8221 ns, 3.42638 ns, 1.14875 nJ, 1.77188 nJ, 1.77195 nJ, 0.911406 nJ, 50.2287 mm2, 74.4906 mm2, 50.1083%, 6.41268 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_100.cfg.txt, 17.6572 ns, 31.5092 ns, 53.5895 ns, 33.5865 ns, 22.8221 ns, 3.42638 ns, 1.14875 nJ, 1.77188 nJ, 1.77195 nJ, 0.911406 nJ, 50.2287 mm2, 74.4906 mm2, 50.1083%, 6.41268 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_150.cfg.txt, 17.6572 ns, 31.5092 ns, 53.5895 ns, 26.9199 ns, 22.8221 ns, 3.42638 ns, 1.14875 nJ, 1.77188 nJ, 1.77195 nJ, 0.911406 nJ, 50.2287 mm2, 74.4906 mm2, 50.1083%, 6.41268 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_400.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 17.3545 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_250.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 20.3545 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_450.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 16.799 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_800.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 14.8545 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_350.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 18.0688 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_650.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.4314 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_750.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.0212 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
system_frequency_500.cfg.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 16.3545 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
