Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
burst_depth_12.txt, 9.30721 ns, 20.5821 ns, 32.7074 ns, 15.2826 ns, 12.8671 ns, 3.42936 ns, 1.16089 nJ, 1.81974 nJ, 1.81979 nJ, 0.923467 nJ, 55.0386 mm2, 79.3004 mm2, 47.069%, 6.80739 mm, 11.6033 mm, 0.312 mm2, 0.741733 ns, 0.0598375 nJ
burst_depth_13.txt, 9.30973 ns, 20.5854 ns, 32.7107 ns, 15.2854 ns, 12.8671 ns, 3.4301 ns, 1.16387 nJ, 1.86374 nJ, 1.86379 nJ, 0.926386 nJ, 55.2072 mm2, 79.4691 mm2, 46.9691%, 6.81677 mm, 11.6093 mm, 0.3312 mm2, 0.741733 ns, 0.0627564 nJ
burst_depth_2.txt, 9.282 ns, 20.5494 ns, 32.6748 ns, 15.3694 ns, 12.8671 ns, 3.42191 ns, 1.13108 nJ, 2.74919 nJ, 2.74919 nJ, 0.894278 nJ, 53.3603 mm2, 77.6222 mm2, 48.0867%, 6.71386 mm, 11.5436 mm, 0.12 mm2, 0.741733 ns, 0.0306485 nJ
burst_depth_6.txt, 9.29208 ns, 20.5625 ns, 32.6878 ns, 15.303 ns, 12.8671 ns, 3.42489 ns, 1.143 nJ, 1.73047 nJ, 1.73049 nJ, 0.905953 nJ, 54.0298 mm2, 78.2917 mm2, 47.6755%, 6.75121 mm, 11.5675 mm, 0.1968 mm2, 0.741733 ns, 0.0423241 nJ
burst_depth_3.txt, 9.28452 ns, 20.5527 ns, 32.6781 ns, 15.3461 ns, 12.8671 ns, 3.42266 ns, 1.13406 nJ, 2.17117 nJ, 2.17118 nJ, 0.897197 nJ, 53.5275 mm2, 77.7893 mm2, 47.9834%, 6.72319 mm, 11.5496 mm, 0.1392 mm2, 0.741733 ns, 0.0335674 nJ
burst_depth_11.txt, 9.30469 ns, 20.5788 ns, 32.7042 ns, 15.2798 ns, 12.8671 ns, 3.42861 ns, 1.15791 nJ, 1.78029 nJ, 1.78033 nJ, 0.920548 nJ, 54.8701 mm2, 79.1319 mm2, 47.1693%, 6.79801 mm, 11.5974 mm, 0.2928 mm2, 0.741733 ns, 0.0569186 nJ
burst_depth_15.txt, 9.31478 ns, 20.5919 ns, 32.7173 ns, 15.2911 ns, 12.8671 ns, 3.43159 ns, 1.16983 nJ, 1.96178 nJ, 1.96185 nJ, 0.932223 nJ, 55.545 mm2, 79.8069 mm2, 46.7703%, 6.83555 mm, 11.6212 mm, 0.3696 mm2, 0.741733 ns, 0.0685943 nJ
burst_depth_4.txt, 9.28704 ns, 20.556 ns, 32.6813 ns, 15.3489 ns, 12.8671 ns, 3.4234 ns, 1.13704 nJ, 1.91648 nJ, 1.9165 nJ, 0.900116 nJ, 53.6948 mm2, 77.9566 mm2, 47.8804%, 6.73252 mm, 11.5556 mm, 0.1584 mm2, 0.741733 ns, 0.0364863 nJ
burst_depth_9.txt, 9.29964 ns, 20.5723 ns, 32.6976 ns, 15.2741 ns, 12.8671 ns, 3.42713 ns, 1.15194 nJ, 1.72107 nJ, 1.72111 nJ, 0.91471 nJ, 54.5335 mm2, 78.7954 mm2, 47.3707%, 6.77927 mm, 11.5855 mm, 0.2544 mm2, 0.741733 ns, 0.0510808 nJ
burst_depth_8.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
burst_depth_10.txt, 9.30217 ns, 20.5756 ns, 32.7009 ns, 15.2769 ns, 12.8671 ns, 3.42787 ns, 1.15493 nJ, 1.74675 nJ, 1.74679 nJ, 0.917629 nJ, 54.7017 mm2, 78.9636 mm2, 47.2698%, 6.78864 mm, 11.5914 mm, 0.2736 mm2, 0.741733 ns, 0.0539997 nJ
burst_depth_5.txt, 9.28956 ns, 20.5592 ns, 32.6846 ns, 15.3002 ns, 12.8671 ns, 3.42415 ns, 1.14002 nJ, 1.79113 nJ, 1.79115 nJ, 0.903034 nJ, 53.8622 mm2, 78.1241 mm2, 47.7778%, 6.74186 mm, 11.5616 mm, 0.1776 mm2, 0.741733 ns, 0.0394052 nJ
burst_depth_1.txt, 9.27949 ns, 20.5462 ns, 32.6715 ns, 15.3852 ns, 12.8671 ns, 3.42117 ns, 1.1281 nJ, 4.62036 nJ, 4.62036 nJ, 0.891359 nJ, 53.1933 mm2, 77.4552 mm2, 48.1904%, 6.70454 mm, 11.5376 mm, 0.1008 mm2, 0.741733 ns, 0.0277296 nJ
burst_depth_14.txt, 9.31226 ns, 20.5886 ns, 32.714 ns, 15.2883 ns, 12.8671 ns, 3.43085 ns, 1.16685 nJ, 1.91133 nJ, 1.91138 nJ, 0.929305 nJ, 55.3761 mm2, 79.6379 mm2, 46.8696%, 6.82616 mm, 11.6152 mm, 0.3504 mm2, 0.741733 ns, 0.0656753 nJ
burst_depth_16.txt, 9.31731 ns, 20.5952 ns, 32.7205 ns, 15.294 ns, 12.8671 ns, 3.43234 ns, 1.17281 nJ, 2.01458 nJ, 2.01465 nJ, 0.935142 nJ, 55.7141 mm2, 79.976 mm2, 46.6714%, 6.84495 mm, 11.6271 mm, 0.3888 mm2, 0.741733 ns, 0.0715132 nJ
burst_depth_7.txt, 9.2946 ns, 20.5658 ns, 32.6911 ns, 15.3059 ns, 12.8671 ns, 3.42564 ns, 1.14598 nJ, 1.70679 nJ, 1.70682 nJ, 0.908872 nJ, 54.1975 mm2, 78.4594 mm2, 47.5736%, 6.76056 mm, 11.5735 mm, 0.216 mm2, 0.741733 ns, 0.045243 nJ
