Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
stacked_die_count_11.txt, 11.8111 ns, 20.9971 ns, 33.1225 ns, 16.4181 ns, 16.2097 ns, 4.76175 ns, 1.33915 nJ, 1.34482 nJ, 1.34485 nJ, 1.26627 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 4.08436 ns, 0.402639 nJ
stacked_die_count_12.txt, 12.4694 ns, 21.6554 ns, 33.7808 ns, 17.7347 ns, 16.868 ns, 5.42007 ns, 1.41891 nJ, 1.42457 nJ, 1.4246 nJ, 1.34602 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 4.74268 ns, 0.482391 nJ
stacked_die_count_6.txt, 9.49351 ns, 19.3729 ns, 31.4983 ns, 12.9608 ns, 13.5961 ns, 2.81728 ns, 1.10334 nJ, 1.31482 nJ, 1.31485 nJ, 0.978012 nJ, 27.5034 mm2, 39.6343 mm2, 47.0879%, 6.77106 mm, 5.81922 mm, 0.232 mm2, 1.47077 ns, 0.114382 nJ
stacked_die_count_16.txt, 15.5573 ns, 24.7433 ns, 36.8686 ns, 23.9104 ns, 19.9559 ns, 8.50794 ns, 1.81126 nJ, 1.81692 nJ, 1.81695 nJ, 1.73837 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 7.83054 ns, 0.874741 nJ
stacked_die_count_1.txt, 18.8079 ns, 40.7621 ns, 62.8424 ns, 47.3819 ns, 22.0803 ns, 10.7131 ns, 1.84033 nJ, 4.10028 nJ, 4.10035 nJ, 0.863244 nJ, 198.473 mm2, 295.521 mm2, 50.5223%, 6.4052 mm, 46.1376 mm
stacked_die_count_4.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
stacked_die_count_15.txt, 14.7169 ns, 23.903 ns, 36.0283 ns, 22.2298 ns, 19.1156 ns, 7.66761 ns, 1.70213 nJ, 1.70779 nJ, 1.70782 nJ, 1.62924 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 6.99021 ns, 0.765612 nJ
stacked_die_count_10.txt, 11.198 ns, 20.3841 ns, 32.5094 ns, 15.192 ns, 15.5967 ns, 4.14872 ns, 1.26669 nJ, 1.27235 nJ, 1.27239 nJ, 1.1938 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 3.47132 ns, 0.330174 nJ
stacked_die_count_2.txt, 17.7962 ns, 34.3582 ns, 56.4385 ns, 24.3727 ns, 22.278 ns, 5.55844 ns, 1.34713 nJ, 2.56463 nJ, 2.5647 nJ, 0.872403 nJ, 99.7515 mm2, 148.275 mm2, 50.3468%, 6.40885 mm, 23.099 mm, 0.2368 mm2, 0.197614 ns, 0.0091594 nJ
stacked_die_count_14.txt, 13.9222 ns, 23.1083 ns, 35.2336 ns, 20.6404 ns, 18.3209 ns, 6.87291 ns, 1.60037 nJ, 1.60604 nJ, 1.60607 nJ, 1.52749 nJ, 14.0471 mm2, 20.1126 mm2, 46.3963%, 6.76594 mm, 2.93856 mm, 0.2304 mm2, 6.19551 ns, 0.663857 nJ
